n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_Africa,n_species_Asia,n_species_Australia,n_species_EasternAsia,n_species_Europe,n_species_India,n_species_Madagascar,n_species_MiddleEast,n_species_NorthAmerica,n_species_SouthAmerica,n_occs_Africa,n_occs_Asia,n_occs_Australia,n_occs_EasternAsia,n_occs_Europe,n_occs_India,n_occs_Madagascar,n_occs_MiddleEast,n_occs_NorthAmerica,n_occs_SouthAmerica,n_locs_Africa,n_locs_Asia,n_locs_Australia,n_locs_EasternAsia,n_locs_Europe,n_locs_India,n_locs_Madagascar,n_locs_MiddleEast,n_locs_NorthAmerica,n_locs_SouthAmerica,present_diversity
0.56,0.56,0.0,0.56,8.200000000000012,0.97,0.56,0.56,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0
0.08,0.08,0.0,0.08,4.37,0.41,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.13,0.0,0.13,6.830000000000007,0.33,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.09,0.0,0.09,4.4500000000000295,0.2,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.11,0.0,0.11,6.049999999999967,0.11,0.11,0.11,0.27,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.27,0.0,0.27,1.9000000000000077,0.27,0.27,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0
1.0,1.73,0.0,1.0,4.1999999999999895,1.0,1.73,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0
1.0,1.0,1.0,1.0,5.600000000000022,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.700000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.800000000000011,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,2.8999999999999777,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
