n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_species_area_5,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_occs_area_5,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,n_locs_area_5,present_diversity
41.7,70.8,1.6,41.6,1.0250000000000001,58.2,15.7,8.0,11.3,0.6,0.5,6.0,34.6,0.0,0.6,0.5,6.3,63.4,0.0,0.4,0.5,3.3,11.5,0.0,0.0
37.7,64.0,1.6,37.6,1.0250000000000001,61.5,15.9,3.6,11.3,0.3,0.6,4.4,32.4,0.0,0.3,0.6,4.8,58.3,0.0,0.3,0.6,2.7,12.3,0.0,0.0
52.3,142.6,4.4,52.3,1.0250000000000001,69.2,41.6,11.6,7.7,1.6,1.3,5.3,44.1,0.0,1.6,1.3,6.5,133.2,0.0,0.7,1.0,3.7,36.2,0.0,0.0
50.2,164.7,2.3,49.2,1.0250000000000097,65.3,48.5,13.3,4.3,0.8,0.7,4.8,43.9,0.0,0.8,0.7,5.2,158.0,0.0,0.4,0.7,3.3,44.1,0.0,0.0
51.0,164.9,1.6,51.0,1.0250000000000001,56.3,53.1,23.5,8.2,0.0,1.4,6.8,42.8,0.0,0.0,1.4,8.0,155.5,0.0,0.0,1.2,3.9,48.0,0.0,0.0
40.8,97.5,1.0,40.8,1.0250000000000001,41.0,36.6,31.1,3.5,0.9,0.4,4.9,34.6,0.0,0.9,0.5,5.6,90.5,0.0,0.5,0.5,4.1,31.5,0.0,0.0
13.3,17.0,1.3,13.3,1.06667,13.4,8.1,9.3,5.7,0.7,0.4,0.0,12.2,0.0,0.8,0.4,0.0,15.8,0.0,0.8,0.4,0.0,6.9,0.0,0.0
9.2,13.2,0.9,9.2,1.0666600000000002,9.8,8.5,4.0,1.3,0.7,0.4,0.1,8.0,0.0,0.8,0.4,0.1,11.9,0.0,0.8,0.4,0.1,7.2,0.0,0.0
4.9,7.1,0.8,4.9,1.06667,7.1,4.5,1.8,1.3,0.4,0.2,0.0,4.3,0.0,0.4,0.2,0.0,6.5,0.0,0.4,0.2,0.0,3.9,0.0,0.0
2.1,2.1,0.7,2.1,0.799999999999997,6.6,1.7,1.0,7.4,0.5,0.2,0.0,1.4,0.0,0.5,0.2,0.0,1.4,0.0,0.5,0.1,0.0,1.1,0.0,0.0
13.0,26.3,3.5,13.0,1.5999999999999999,13.0,14.1,11.0,0.6,1.5,1.0,0.0,10.5,0.0,1.5,1.0,0.0,23.8,0.0,1.5,0.5,0.0,12.1,0.0,0.0
2.4,3.9,0.0,2.4,1.4000000000000001,2.6,3.9,0.3,0.2,0.0,0.6,0.0,1.8,0.0,0.0,0.8,0.0,3.1,0.0,0.0,0.8,0.0,3.1,0.0,0.0
1.6,1.9,0.0,1.6,1.0,2.5,1.9,1.3,1.4,0.0,0.5,0.0,1.1,0.0,0.0,0.6,0.0,1.3,0.0,0.0,0.6,0.0,1.3,0.0,0.0
2.5,2.6,1.2,2.5,1.0,2.6,2.5,2.4,0.6,0.0,0.5,0.0,2.0,0.0,0.0,0.6,0.0,2.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0
0.8,0.8,0.6,0.8,1.04300000000001,0.8,0.5,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
