"Locality","cc","id","Taxon","MaxAge","MinAge","Rotated.Lat","Rotated.Lon","Area","genus"
"Western Cape","ZA",1704,"Emydops",264.28,254.14,-62.7516,-22.8072,1,"Emydops"
"Northern Cape","ZA",1701,"Lystrosaurus",251.902,251.2,-60.8084,-9.6701,1,"Lystrosaurus"
"Ruvuma","TZ",1697,"Tetragonias",247.2,242,-46.5586,19.7779,1,"Tetragonias"
"Eastern Cape","ZA",1696,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Eastern Cape","ZA",1695,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Eastern Cape","ZA",1692,"Lystrosaurus",251.902,247.2,-62.6491,-13.244,1,"Lystrosaurus"
"Eastern Cape","ZA",1691,"Lystrosaurus",251.902,247.2,-62.6491,-13.244,1,"Lystrosaurus"
"Eastern Cape","ZA",1690,"Lystrosaurus",251.902,247.2,-62.6491,-13.244,1,"Lystrosaurus"
"Eastern Cape","ZA",1687,"Endothiodon",259.51,254.14,-63.1595,-14.725,1,"Endothiodon"
"Eastern Cape","ZA",1683,"Dicynodon",259.51,251.902,-63.1595,-14.725,1,"Dicynodon"
"Graaff-Reinet","ZA",1682,"Diictodon",259.51,254.14,-63.1595,-14.725,1,"Diictodon"
"Eastern Cape","ZA",1678,"Aulacocephalus",259.51,254.14,-63.1595,-14.725,1,"Aulacocephalus"
"Eastern Cape","ZA",1677,"Pristerodon",259.51,254.14,-63.1595,-14.725,1,"Pristerodon"
"Eastern Cape","ZA",1676,"Pristerodon",259.51,254.14,-63.1595,-14.725,1,"Pristerodon"
"Eastern Cape","ZA",1673,"Diictodon",259.51,254.14,-63.1595,-14.725,1,"Diictodon"
"Western Cape","ZA",1669,"Robertia",264.28,259.51,-62.7516,-22.8072,1,"Robertia"
"Western Cape","ZA",1668,"Diictodon",264.28,259.51,-62.7516,-22.8072,1,"Diictodon"
"Eastern Cape","ZA",1665,"Lystrosaurus",251.902,251.2,-62.6491,-13.244,1,"Lystrosaurus"
"Free State","ZA",1663,"Lystrosaurus",251.902,247.2,-60.8807,-1.1886,1,"Lystrosaurus"
"Ruvuma","TZ",1659,"Dicynodon",259.51,254.14,-47.7841,17.7482,1,"Dicynodon"
"Eastern Cape","ZA",1656,"Lystrosaurus",251.902,251.2,-62.6491,-13.244,1,"Lystrosaurus"
"Xinjiang","CN",1652,"Kunpania",259.51,251.902,61.211,77.698,2,"Kunpania"
"Xinjiang","CN",1651,"Jimusaria",254.14,251.902,58.9903,73.6764,2,"Jimusaria"
"Xinjiang","CN",1650,"Jimusaria",254.14,251.902,59.5206,80.8142,2,"Jimusaria"
"Xinjiang","CN",1649,"Diictodon",254.14,251.902,58.9903,73.6764,2,"Diictodon"
"Northern Cape","ZA",1628,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Northern Cape","ZA",1627,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Northern Cape","ZA",1626,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Northern Cape","ZA",1616,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1595,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1596,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1597,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1598,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1599,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1600,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Eastern Cape","ZA",1580,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1581,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1582,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1583,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1584,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1585,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1586,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1587,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Western Cape","ZA",1576,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1567,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1568,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1569,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1570,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1571,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1572,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1573,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1552,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1553,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1554,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1555,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1556,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1557,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1558,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1559,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1560,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1536,"Emydops",264.28,259.51,-62.7516,-22.8072,1,"Emydops"
"Western Cape","ZA",1533,"Endothiodon",259.51,254.14,-60.8508,-19.3342,1,"Endothiodon"
